Track Name,Artist Name(s),Album Name,Album Artist Name(s),Track Duration (ms),Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,simplified_genre
To The Moon And Back,Savage Garden,Savage Garden,Savage Garden,341226,0.59,0.77,-7.363,0.0345,0.02,1.26e-5,0.0976,0.347,104.115,pop
50 Years,Uncanny X-Men,Cos Life Hurts,Uncanny X-Men,246160,0.375,0.543,-9.634,0.0271,0.139,0,0.0995,0.622,165.319,rock
Dangerous (feat. Sam Martin),"David Guetta, Sam Martin",Listen,David Guetta,203641,0.466,0.747,-4.838,0.0795,0.417,9.76e-6,0.107,0.43,92.161,pop
"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer, Travis Scott, Camila Cabello, Quavo",Know No Better,Major Lazer,225849,0.738,0.814,-4.414,0.0999,0.132,9.64e-6,0.126,0.483,119.041,pop
I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,Panic! At The Disco,186634,0.569,0.83,-4.106,0.14,0.0807,0,0.114,0.609,170.094,pop
Right Here Waiting,Richard Marx,Repeat Offender,Richard Marx,264333,0.395,0.252,-13.589,0.0301,0.8,0,0.101,0.126,177.679,pop
Gotta Pull Myself Together,The Nolans,Making Waves,The Nolans,163480,0.897,0.869,-5.494,0.077,0.614,0,0.207,0.97,123.834,pop
Bitter Sweet Symphony,The Verve,This Is Music: The Singles 92-98,The Verve,359546,0.356,0.913,-6.015,0.0499,0.0339,0,0.221,0.537,171.157,rock
Candle In The Wind,Elton John,Elton John's Greatest Hits,Elton John,228000,0.6,0.414,-13.182,0.0291,0.172,5.91e-6,0.264,0.588,124.43,rock
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, WATT","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso",174800,0.659,0.717,-4.202,0.0581,0.0393,0,0.0769,0.71,103.036,pop
Chances,Backstreet Boys,Chances,Backstreet Boys,172626,0.552,0.755,-6.255,0.0679,0.0178,0,0.466,0.296,109.806,pop
Sway Sway Baby!,Short Stack,Stack Is The New Black,Short Stack,169093,0.597,0.927,-4.422,0.059,0.0347,0,0.423,0.735,155.067,pop
Night of My Life,Damien Leith,Night Of My Life,Damien Leith,214613,0.416,0.559,-5.787,0.0267,0.00341,0,0.2,0.282,168.142,pop
Here Without You,"3 Doors Down, Jack Joseph Puig",The Greatest Hits,3 Doors Down,235640,0.469,0.67,-4.604,0.027,0.00815,0,0.132,0.158,144.045,rock
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",See You Again (feat. Charlie Puth),Wiz Khalifa,229525,0.689,0.481,-7.503,0.0815,0.369,1.03e-6,0.0649,0.283,80.025,pop
Sweet Sweet Love - Radio Edit,Russell Morris,Retrospective,Russell Morris,266640,0.402,0.386,-17.293,0.0563,0.248,5.34e-5,0.215,0.26,85.978,rock
Open Up Your Eyes,Tonic,Lemon Parade,Tonic,220493,0.431,0.902,-6.467,0.0465,0.00593,5.95e-5,0.0983,0.305,98.624,pop
Rabbit Heart (Raise It Up),Florence + The Machine,Lungs (Deluxe Version),Florence + The Machine,232360,0.625,0.858,-3.483,0.0462,0.092,1.36e-6,0.266,0.418,116.98,pop
Alone,Bee Gees,Still Waters,Bee Gees,290066,0.639,0.788,-5.076,0.0307,0.0969,2.31e-4,0.283,0.717,110.005,rock
Hotter Than Hell,Dua Lipa,Dua Lipa (Deluxe),Dua Lipa,187957,0.532,0.868,-4.23,0.0908,0.011,0,0.0584,0.529,110.127,pop
GDFR (feat. Sage the Gemini & Lookas),"Flo Rida, Sage The Gemini, Lookas",My House,Flo Rida,190185,0.657,0.827,-4.036,0.0734,7.04e-4,0.00534,0.065,0.69,145.889,pop
Sweet Caroline,Neil Diamond,Sweet Caroline,Neil Diamond,203573,0.529,0.127,-16.066,0.0274,0.611,1.09e-4,0.237,0.578,63.05,rock
1-800-273-8255,"Logic, Alessia Cara, Khalid",Everybody,Logic,250173,0.62,0.574,-7.788,0.0479,0.569,0,0.19,0.357,100.023,pop
Hold Me,Fleetwood Mac,Greatest Hits,Fleetwood Mac,225333,0.709,0.571,-13.25,0.039,0.247,0.014,0.114,0.779,124.739,rock
Take This Heart,Richard Marx,Greatest Hits,Richard Marx,250666,0.612,0.694,-8.277,0.026,0.00142,0.0012,0.0749,0.551,115.53,pop
Everywhere I Go,"QED, Jenny Morris",Animal Magic,QED,211800,0.616,0.511,-14.807,0.0378,0.0887,2.33e-6,0.0736,0.724,134.769,pop
I Believe in You,Michael Bublé,Nobody but Me (Deluxe),Michael Bublé,201813,0.612,0.744,-5.671,0.033,0.125,2.57e-6,0.0978,0.527,113.009,pop
The Clapping Song,The Belle Stars,Belle-Issima! Sweet Memories…,The Belle Stars,195373,0.866,0.762,-9.256,0.207,0.0712,1.16e-4,0.148,0.662,88.972,pop
Free Fallin',Tom Petty,Full Moon Fever,Tom Petty,256000,0.623,0.449,-13.333,0.0253,0.212,0,0.0613,0.572,84.383,rock
Bitter Tears,INXS,X (Remastered),INXS,229306,0.587,0.818,-5.193,0.0304,0.0109,2.62e-6,0.195,0.682,113.97,rock
Hush Hush; Hush Hush,The Pussycat Dolls,Doll Domination (Revised International Version),The Pussycat Dolls,253600,0.634,0.796,-4.11,0.0626,0.062,0,0.265,0.613,129.438,pop
Fairground,Simply Red,Big Love Greatest Hits Edition 30th Anniversary,Simply Red,332413,0.695,0.832,-5.125,0.0428,0.222,0.0687,0.155,0.653,122.792,pop
